source_scenario_id,match_id,agent_name,baseline_name,player_card,opponent_card,starting_side,evaluated_agent_side,normalized_side,winner,turns,stop_reason,fallback_count,elapsed_seconds,baseline_strength,side_priority,turn_complexity,hard_example_priority,hard_example_rank,replay_level,mining_status,records_mined,queue_position
NB48_LOSS_142,142,Competitive Policy,Greedy Damage Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0007679000264033,2.0,2.0,1.0,4.0,54,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,54
NB48_LOSS_146,146,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008122000144794,2.0,2.0,1.0,4.0,55,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,55
NB48_LOSS_150,150,Competitive Policy,Greedy Damage Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008772999281063,2.0,2.0,1.0,4.0,56,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,56
NB48_LOSS_154,154,Competitive Policy,Greedy Damage Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0007571000605821,2.0,2.0,1.0,4.0,57,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,57
NB48_LOSS_158,158,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008411000017076,2.0,2.0,1.0,4.0,58,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,58
NB48_LOSS_162,162,Competitive Policy,Greedy Damage Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008798000635579,2.0,2.0,1.0,4.0,59,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,59
NB48_LOSS_166,166,Competitive Policy,Greedy Damage Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008649999508634,2.0,2.0,1.0,4.0,60,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,60
NB48_LOSS_170,170,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0009279999649152,2.0,2.0,1.0,4.0,61,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,61
NB48_LOSS_174,174,Competitive Policy,Greedy Damage Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008206999627873,2.0,2.0,1.0,4.0,62,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,62
NB48_LOSS_178,178,Competitive Policy,Greedy Damage Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0009010999929159,2.0,2.0,1.0,4.0,63,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,63
