strategy,feature_position,feature_name,importance,importance_rank,importance_percent,feature_type,base_feature
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,23,numeric__is_legal__quick_attack,0.03113539965353921,13,3.113539965353921,numeric,is_legal__quick_attack
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,18,numeric__model_choice_required_flag,0.030599529808120515,14,3.0599529808120516,numeric,model_choice_required_flag
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,27,categorical__side_mode_FLIP,0.02856887351947989,15,2.856887351947989,categorical,side_mode_FLIP
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,16,numeric__single_legal_move_flag,0.028153136731093882,16,2.8153136731093884,numeric,single_legal_move_flag
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,41,categorical__inactive_card_Eevee,0.02400367123429553,17,2.400367123429553,categorical,inactive_card_Eevee
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,28,categorical__side_mode_PRESERVE,0.022488260451059696,18,2.2488260451059694,categorical,side_mode_PRESERVE
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,37,categorical__active_card_Eevee,0.02224472523800183,19,2.224472523800183,categorical,active_card_Eevee
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,15,numeric__absolute_damage_difference,0.02216162233664746,20,2.216162233664746,numeric,absolute_damage_difference
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,3,numeric__player_damage,0.019515166150121662,21,1.9515166150121661,numeric,player_damage
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,29,categorical__player_card_Bulbasaur,0.017312701774389917,22,1.7312701774389916,categorical,player_card_Bulbasaur
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,0,numeric__turn_number,0.015709813488297895,23,1.5709813488297895,numeric,turn_number
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,8,numeric__acting_energy,0.015572534329332446,24,1.5572534329332446,numeric,acting_energy
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,13,numeric__defending_damage,0.014530043245445462,25,1.4530043245445463,numeric,defending_damage
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,2,numeric__opponent_energy,0.013358641666392126,26,1.3358641666392126,numeric,opponent_energy
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,6,numeric__hand_size,0.013140486901955045,27,1.3140486901955044,numeric,hand_size
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,38,categorical__active_card_Meowth,0.01311734756443873,28,1.311734756443873,categorical,active_card_Meowth
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,9,numeric__defending_energy,0.01287224830251158,29,1.287224830251158,numeric,defending_energy
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,48,categorical__energy_band_ZERO,0.011867128301918965,30,1.1867128301918966,categorical,energy_band_ZERO
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,46,categorical__energy_band_LOW,0.011702726085083067,31,1.1702726085083068,categorical,energy_band_LOW
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,1,numeric__player_energy,0.011563141080689971,32,1.1563141080689971,numeric,player_energy
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,32,categorical__player_card_Meowth,0.008800780280100107,33,0.8800780280100108,categorical,player_card_Meowth
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,47,categorical__energy_band_READY,0.008465844417723004,34,0.8465844417723004,categorical,energy_band_READY
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,5,numeric__prize_cards_remaining,0.005255394024740589,35,0.525539402474059,numeric,prize_cards_remaining
