comparison_case_id,scenario_family,pair_number,case_variant,evaluation_side,strategy_comparisons,mean_maximum_probability_difference,maximum_probability_difference,mean_l1_probability_difference,maximum_l1_probability_difference,unique_case_rank
4WE_PAIR_023_V02__OPPONENT,4WE,23,V02,OPPONENT,6,0.06066666666666671,0.10200000000000009,0.12133333333333339,0.2040000000000001,111
4WE_PAIR_022_V02__PLAYER,4WE,22,V02,PLAYER,6,0.05933333333333338,0.10200000000000009,0.11866666666666674,0.2040000000000001,112
4WE_PAIR_023_V02__PLAYER,4WE,23,V02,PLAYER,6,0.05933333333333338,0.10200000000000009,0.11866666666666674,0.2040000000000001,113
4WE_PAIR_004_V01__PLAYER,4WE,4,V01,PLAYER,6,0.056333333333333346,0.10199999999999998,0.11933333333333333,0.21999999999999997,114
4WE_PAIR_003_V01__PLAYER,4WE,3,V01,PLAYER,6,0.05566666666666668,0.10199999999999998,0.118,0.21999999999999997,115
4WE_PAIR_010_V01__PLAYER,4WE,10,V01,PLAYER,6,0.05566666666666668,0.10199999999999998,0.118,0.21999999999999997,116
4WE_PAIR_002_V01__OPPONENT,4WE,2,V01,OPPONENT,6,0.055333333333333345,0.10199999999999998,0.11733333333333333,0.21999999999999997,117
4WE_PAIR_002_V04__OPPONENT,4WE,2,V04,OPPONENT,6,0.055333333333333345,0.10199999999999998,0.118,0.21599999999999997,118
4WE_PAIR_009_V01__OPPONENT,4WE,9,V01,OPPONENT,6,0.055333333333333345,0.10199999999999998,0.11733333333333333,0.21999999999999997,119
4WE_PAIR_009_V04__OPPONENT,4WE,9,V04,OPPONENT,6,0.055333333333333345,0.10199999999999998,0.118,0.21599999999999997,120
4WE_PAIR_014_V01__OPPONENT,4WE,14,V01,OPPONENT,6,0.055333333333333345,0.10199999999999998,0.11733333333333333,0.21999999999999997,121
4WE_PAIR_014_V04__OPPONENT,4WE,14,V04,OPPONENT,6,0.055333333333333345,0.10199999999999998,0.118,0.21599999999999997,122
4WE_PAIR_019_V01__OPPONENT,4WE,19,V01,OPPONENT,6,0.055333333333333345,0.10199999999999998,0.11733333333333333,0.21999999999999997,123
4WE_PAIR_019_V04__OPPONENT,4WE,19,V04,OPPONENT,6,0.055333333333333345,0.10199999999999998,0.118,0.21599999999999997,124
4WE_PAIR_001_V01__PLAYER,4WE,1,V01,PLAYER,6,0.055000000000000014,0.10199999999999998,0.11666666666666665,0.21999999999999997,125
4WE_PAIR_008_V01__PLAYER,4WE,8,V01,PLAYER,6,0.055000000000000014,0.10199999999999998,0.11666666666666665,0.21999999999999997,126
4WE_PAIR_014_V01__PLAYER,4WE,14,V01,PLAYER,6,0.055000000000000014,0.10199999999999998,0.11666666666666665,0.21999999999999997,127
4WE_PAIR_019_V01__PLAYER,4WE,19,V01,PLAYER,6,0.055000000000000014,0.10199999999999998,0.11666666666666665,0.21999999999999997,128
4WE_PAIR_004_V01__OPPONENT,4WE,4,V01,OPPONENT,6,0.05566666666666668,0.09999999999999998,0.118,0.21599999999999997,129
4WE_PAIR_004_V04__OPPONENT,4WE,4,V04,OPPONENT,6,0.05566666666666668,0.09999999999999998,0.11866666666666666,0.21199999999999997,130
4WE_PAIR_003_V01__OPPONENT,4WE,3,V01,OPPONENT,6,0.055000000000000014,0.09999999999999998,0.11666666666666665,0.21599999999999997,131
4WE_PAIR_003_V04__OPPONENT,4WE,3,V04,OPPONENT,6,0.055000000000000014,0.09999999999999998,0.11733333333333333,0.21199999999999997,132
4WE_PAIR_010_V01__OPPONENT,4WE,10,V01,OPPONENT,6,0.055000000000000014,0.09999999999999998,0.11666666666666665,0.21599999999999997,133
4WE_PAIR_010_V04__OPPONENT,4WE,10,V04,OPPONENT,6,0.055000000000000014,0.09999999999999998,0.11733333333333333,0.21199999999999997,134
4WE_PAIR_001_V01__OPPONENT,4WE,1,V01,OPPONENT,6,0.05400000000000001,0.09999999999999998,0.11466666666666665,0.21599999999999997,135
4WE_PAIR_001_V04__OPPONENT,4WE,1,V04,OPPONENT,6,0.05400000000000001,0.09999999999999998,0.11533333333333333,0.21199999999999997,136
4WE_PAIR_008_V01__OPPONENT,4WE,8,V01,OPPONENT,6,0.05400000000000001,0.09999999999999998,0.11466666666666665,0.21599999999999997,137
4WE_PAIR_008_V04__OPPONENT,4WE,8,V04,OPPONENT,6,0.05400000000000001,0.09999999999999998,0.11533333333333333,0.21199999999999997,138
